Date,Close,,,,,
2/1/2020,1615,,,,,
3/1/2020,1635,,,,,
6/1/2020,1640,,,,,
7/1/2020,1635,,,,,
8/1/2020,1585,,,,,
9/1/2020,1600,,,,,
10/1/2020,1600,,,,,
13/01/2020,1600,,,,,
14/01/2020,1585,,,,,
15/01/2020,1580,,,,,
16/01/2020,1665,,,,,
17/01/2020,1615,,,,,
20/01/2020,1620,,,,,
21/01/2020,1610,,,,,
22/01/2020,1590,,,,,
23/01/2020,1575,,,,,
24/01/2020,1540,,,,,
27/01/2020,1520,,,,,
28/01/2020,1500,,,,,
29/01/2020,1525,,,,,
30/01/2020,1515,,,,,
31/01/2020,1430,,,,,
3/2/2020,1470,,,,,
4/2/2020,1480,,,,,
5/2/2020,1485,,,,,
6/2/2020,1460,,,,,
7/2/2020,1470,,,,,
10/2/2020,1480,,,,,
11/2/2020,1460,,,,,
12/2/2020,1410,,,,,
13/02/2020,1370,,,,,
14/02/2020,1390,,,,,
17/02/2020,1390,,,,,
18/02/2020,1395,,,,,
19/02/2020,1435,,,,,
20/02/2020,1420,,,,,
21/02/2020,1365,,,,,
24/02/2020,1355,,,,,
25/02/2020,1295,,,,,
26/02/2020,1285,,,,,
27/02/2020,1250,,,,,
28/02/2020,1220,,,,,
2/3/2020,1195,,,,,
3/3/2020,1210,,,,,
4/3/2020,1275,,,,,
5/3/2020,1330,,,,,
6/3/2020,1235,,,,,
9/3/2020,1140,,,,,
10/3/2020,1155,,,,,
11/3/2020,1115,,,,,
12/3/2020,1045,,,,,
13/03/2020,1040,,,,,
16/03/2020,1000,,,,,
17/03/2020,995,,,,,
18/03/2020,1045,,,,,
19/03/2020,975,,,,,
20/03/2020,980,,,,,
23/03/2020,915,,,,,
24/03/2020,865,,,,,
26/03/2020,950,,,,,
27/03/2020,1010,,,,,
30/03/2020,1045,,,,,
31/03/2020,1200,,,,,
1/4/2020,1165,,,,,
2/4/2020,1285,,,,,
3/4/2020,1250,,,,,
6/4/2020,1270,,,,,
7/4/2020,1230,,,,,
8/4/2020,1145,,,,,
9/4/2020,1140,,,,,
13/04/2020,1100,,,,,
14/04/2020,1185,,,,,
15/04/2020,1210,,,,,
16/04/2020,1145,,,,,
17/04/2020,1195,,,,,
20/04/2020,1200,,,,,
21/04/2020,1210,,,,,
22/04/2020,1250,,,,,
23/04/2020,1265,,,,,
24/04/2020,1255,,,,,
27/04/2020,1330,,,,,
28/04/2020,1445,,,,,
29/04/2020,1470,,,,,
30/04/2020,1440,,,,,
4/5/2020,1380,,,,,
5/5/2020,1360,,,,,
6/5/2020,1405,,,,,
8/5/2020,1400,,,,,
11/5/2020,1385,,,,,
12/5/2020,1385,,,,,
13/05/2020,1400,,,,,
14/05/2020,1400,,,,,
15/05/2020,1400,,,,,
18/05/2020,1400,,,,,
19/05/2020,1390,,,,,
20/05/2020,1340,,,,,
26/05/2020,1325,,,,,
27/05/2020,1320,,,,,
28/05/2020,1355,,,,,
29/05/2020,1415,,,,,
2/6/2020,1385,,,,,
3/6/2020,1415,,,,,
4/6/2020,1410,,,,,
5/6/2020,1410,,,,,
8/6/2020,1425,,,,,
9/6/2020,1410,,,,,
10/6/2020,1470,,,,,
11/6/2020,1420,,,,,
12/6/2020,1380,,,,,
15/06/2020,1405,,,,,
16/06/2020,1425,,,,,
17/06/2020,1430,,,,,
18/06/2020,1410,,,,,
19/06/2020,1460,,,,,
22/06/2020,1470,,,,,
23/06/2020,1435,,,,,
24/06/2020,1460,,,,,
25/06/2020,1455,,,,,
26/06/2020,1445,,,,,
29/06/2020,1440,,,,,
30/06/2020,1460,,,,,
1/7/2020,1465,,,,,
2/7/2020,1495,,,,,
3/7/2020,1495,,,,,
6/7/2020,1530,,,,,
7/7/2020,1515,,,,,
8/7/2020,1520,,,,,
9/7/2020,1530,,,,,
10/7/2020,1470,,,,,
13/07/2020,1460,,,,,
14/07/2020,1505,,,,,
15/07/2020,1510,,,,,
16/07/2020,1485,,,,,
17/07/2020,1465,,,,,
20/07/2020,1485,,,,,
21/07/2020,1520,,,,,
22/07/2020,1575,,,,,
23/07/2020,1615,,,,,
24/07/2020,1570,,,,,
27/07/2020,1550,,,,,
28/07/2020,1515,,,,,
29/07/2020,1525,,,,,
30/07/2020,1565,,,,,
3/8/2020,1560,,,,,
4/8/2020,1575,,,,,
5/8/2020,1615,,,,,
6/8/2020,1600,,,,,
7/8/2020,1580,,,,,
10/8/2020,1610,,,,,
11/8/2020,1600,,,,,
12/8/2020,1615,,,,,
13/08/2020,1625,,,,,
14/08/2020,1625,,,,,
18/08/2020,1620,,,,,
19/08/2020,1605,,,,,
24/08/2020,1600,,,,,
25/08/2020,1620,,,,,
26/08/2020,1590,,,,,
27/08/2020,1615,,,,,
28/08/2020,1610,,,,,
31/08/2020,1580,,,,,
1/9/2020,1595,,,,,
2/9/2020,1600,,,,,
3/9/2020,1595,,,,,
4/9/2020,1590,,,,,
7/9/2020,1600,,,,,
8/9/2020,1580,,,,,
9/9/2020,1555,,,,,
10/9/2020,1480,,,,,
11/9/2020,1575,,,,,
14/09/2020,1590,,,,,
15/09/2020,1545,,,,,
16/09/2020,1540,,,,,
17/09/2020,1515,,,,,
18/09/2020,1545,,,,,
21/09/2020,1500,,,,,
22/09/2020,1455,,,,,
23/09/2020,1530,,,,,
24/09/2020,1515,,,,,
25/09/2020,1580,,,,,
28/09/2020,1525,,,,,
29/09/2020,1510,,,,,
30/09/2020,1550,,,,,
1/10/2020,1610,,,,,
2/10/2020,1570,,,,,
5/10/2020,1565,,,,,
6/10/2020,1565,,,,,
7/10/2020,1590,,,,,
8/10/2020,1600,,,,,
9/10/2020,1570,,,,,
12/10/2020,1580,,,,,
13/10/2020,1585,,,,,
14/10/2020,1590,,,,,
15/10/2020,1560,,,,,
16/10/2020,1550,,,,,
19/10/2020,1570,,,,,
20/10/2020,1565,,,,,
21/10/2020,1565,,,,,
22/10/2020,1580,,,,,
23/10/2020,1585,,,,,
26/10/2020,1545,,,,,
27/10/2020,1525,,,,,
2/11/2020,1495,,,,,
3/11/2020,1475,,,,,
4/11/2020,1455,,,,,
5/11/2020,1500,,,,,
6/11/2020,1515,,,,,
9/11/2020,1480,,,,,
10/11/2020,1495,,,,,
11/11/2020,1470,,,,,
12/11/2020,1485,,,,,
13/11/2020,1495,,,,,
16/11/2020,1490,,,,,
17/11/2020,1500,,,,,
18/11/2020,1505,,,,,
19/11/2020,1495,,,,,
20/11/2020,1495,,,,,
23/11/2020,1495,,,,,
24/11/2020,1485,,,,,
25/11/2020,1470,,,,,
26/11/2020,1490,,,,,
27/11/2020,1480,,,,,
30/11/2020,1505,,,,,
1/12/2020,1485,,,,,
2/12/2020,1495,,,,,
3/12/2020,1465,,,,,
4/12/2020,1475,,,,,
7/12/2020,1485,,,,,
8/12/2020,1475,,,,,
10/12/2020,1480,,,,,
11/12/2020,1465,,,,,
14/12/2020,1485,,,,,
15/12/2020,1485,,,,,
16/12/2020,1545,,,,,
17/12/2020,1540,,,,,
18/12/2020,1540,,,,,
21/12/2020,1545,,,,,
22/12/2020,1505,,,,,
23/12/2020,1465,,,,,
28/12/2020,1500,,,,,
29/12/2020,1490,,,,,
30/12/2020,1480,,,,,
4/1/2021,1475,,,,,
5/1/2021,1470,,,,,
6/1/2021,1500,,,,,
7/1/2021,1485,,,,,
8/1/2021,1495,,,,,
11/1/2021,1760,,,,,
12/1/2021,1680,,,,,
13/01/2021,1565,,,,,
14/01/2021,1595,,,,,
15/01/2021,1645,,,,,
18/01/2021,1660,,,,,
19/01/2021,1585,,,,,
20/01/2021,1590,,,,,
21/01/2021,1655,,,,,
22/01/2021,1615,,,,,
25/01/2021,1605,,,,,
26/01/2021,1545,,,,,
27/01/2021,1510,,,,,
28/01/2021,1515,,,,,
29/01/2021,1465,,,,,
1/2/2021,1490,,,,,
2/2/2021,1520,,,,,
3/2/2021,1560,,,,,
4/2/2021,1545,,,,,
5/2/2021,1590,,,,,
8/2/2021,1570,,,,,
9/2/2021,1520,,,,,
10/2/2021,1525,,,,,
11/2/2021,1525,,,,,
15/02/2021,1525,,,,,
16/02/2021,1525,,,,,
17/02/2021,1515,,,,,
18/02/2021,1490,,,,,
19/02/2021,1585,,,,,
22/02/2021,1570,,,,,
23/02/2021,1540,,,,,
24/02/2021,1505,,,,,
25/02/2021,1500,,,,,
26/02/2021,1470,,,,,
1/3/2021,1520,,,,,
