Date,Close,,,,,
2/1/2020,4410,,,,,
3/1/2020,4420,,,,,
6/1/2020,4370,,,,,
7/1/2020,4400,,,,,
8/1/2020,4380,,,,,
9/1/2020,4400,,,,,
10/1/2020,4410,,,,,
13/01/2020,4510,,,,,
14/01/2020,4570,,,,,
15/01/2020,4580,,,,,
16/01/2020,4570,,,,,
17/01/2020,4630,,,,,
20/01/2020,4660,,,,,
21/01/2020,4670,,,,,
22/01/2020,4710,,,,,
23/01/2020,4740,,,,,
24/01/2020,4740,,,,,
27/01/2020,4650,,,,,
28/01/2020,4620,,,,,
29/01/2020,4620,,,,,
30/01/2020,4580,,,,,
31/01/2020,4460,,,,,
3/2/2020,4460,,,,,
4/2/2020,4560,,,,,
5/2/2020,4560,,,,,
6/2/2020,4550,,,,,
7/2/2020,4550,,,,,
10/2/2020,4500,,,,,
11/2/2020,4510,,,,,
12/2/2020,4530,,,,,
13/02/2020,4570,,,,,
14/02/2020,4550,,,,,
17/02/2020,4470,,,,,
18/02/2020,4400,,,,,
19/02/2020,4480,,,,,
20/02/2020,4560,,,,,
21/02/2020,4510,,,,,
24/02/2020,4490,,,,,
25/02/2020,4500,,,,,
26/02/2020,4480,,,,,
27/02/2020,4130,,,,,
28/02/2020,4190,,,,,
2/3/2020,3980,,,,,
3/3/2020,4100,,,,,
4/3/2020,4220,,,,,
5/3/2020,4150,,,,,
6/3/2020,4010,,,,,
9/3/2020,3750,,,,,
10/3/2020,3910,,,,,
11/3/2020,3910,,,,,
12/3/2020,3610,,,,,
13/03/2020,3720,,,,,
16/03/2020,3500,,,,,
17/03/2020,3260,,,,,
18/03/2020,3140,,,,,
19/03/2020,2930,,,,,
20/03/2020,2810,,,,,
23/03/2020,2620,,,,,
24/03/2020,2440,,,,,
26/03/2020,2940,,,,,
27/03/2020,3230,,,,,
30/03/2020,3010,,,,,
31/03/2020,3020,,,,,
1/4/2020,2930,,,,,
2/4/2020,2870,,,,,
3/4/2020,2890,,,,,
6/4/2020,3020,,,,,
7/4/2020,3030,,,,,
8/4/2020,2820,,,,,
9/4/2020,2790,,,,,
13/04/2020,2770,,,,,
14/04/2020,2900,,,,,
15/04/2020,2760,,,,,
16/04/2020,2610,,,,,
17/04/2020,2830,,,,,
20/04/2020,2780,,,,,
21/04/2020,2720,,,,,
22/04/2020,2790,,,,,
23/04/2020,2800,,,,,
24/04/2020,2630,,,,,
27/04/2020,2660,,,,,
28/04/2020,2590,,,,,
29/04/2020,2580,,,,,
30/04/2020,2730,,,,,
4/5/2020,2630,,,,,
5/5/2020,2630,,,,,
6/5/2020,2620,,,,,
8/5/2020,2590,,,,,
11/5/2020,2620,,,,,
12/5/2020,2490,,,,,
13/05/2020,2470,,,,,
14/05/2020,2350,,,,,
15/05/2020,2240,,,,,
18/05/2020,2170,,,,,
19/05/2020,2370,,,,,
20/05/2020,2480,,,,,
26/05/2020,2520,,,,,
27/05/2020,2630,,,,,
28/05/2020,2730,,,,,
29/05/2020,2950,,,,,
2/6/2020,3180,,,,,
3/6/2020,3024,,,,,
4/6/2020,2985,,,,,
5/6/2020,3034,,,,,
8/6/2020,3220,,,,,
9/6/2020,3132,,,,,
10/6/2020,2956,,,,,
11/6/2020,2898,,,,,
12/6/2020,2956,,,,,
15/06/2020,2829,,,,,
16/06/2020,3054,,,,,
17/06/2020,3024,,,,,
18/06/2020,2976,,,,,
19/06/2020,3024,,,,,
22/06/2020,2985,,,,,
23/06/2020,2937,,,,,
24/06/2020,3044,,,,,
25/06/2020,2985,,,,,
26/06/2020,2956,,,,,
29/06/2020,2966,,,,,
30/06/2020,2956,,,,,
1/7/2020,2985,,,,,
2/7/2020,2985,,,,,
3/7/2020,2976,,,,,
6/7/2020,2966,,,,,
7/7/2020,2956,,,,,
8/7/2020,3112,,,,,
9/7/2020,3063,,,,,
10/7/2020,3034,,,,,
13/07/2020,3083,,,,,
14/07/2020,3093,,,,,
15/07/2020,3054,,,,,
16/07/2020,3063,,,,,
17/07/2020,3024,,,,,
20/07/2020,2976,,,,,
21/07/2020,3073,,,,,
22/07/2020,3024,,,,,
23/07/2020,3063,,,,,
24/07/2020,3015,,,,,
27/07/2020,3073,,,,,
28/07/2020,3063,,,,,
29/07/2020,3044,,,,,
30/07/2020,3083,,,,,
3/8/2020,2917,,,,,
4/8/2020,3005,,,,,
5/8/2020,3005,,,,,
6/8/2020,3034,,,,,
7/8/2020,3034,,,,,
10/8/2020,3054,,,,,
11/8/2020,3112,,,,,
12/8/2020,3268,,,,,
13/08/2020,3249,,,,,
14/08/2020,3259,,,,,
18/08/2020,3434,,,,,
19/08/2020,3473,,,,,
24/08/2020,3551,,,,,
25/08/2020,3707,,,,,
26/08/2020,3649,,,,,
27/08/2020,3610,,,,,
28/08/2020,3600,,,,,
31/08/2020,3424,,,,,
1/9/2020,3522,,,,,
2/9/2020,3571,,,,,
3/9/2020,3493,,,,,
4/9/2020,3463,,,,,
7/9/2020,3424,,,,,
8/9/2020,3434,,,,,
9/9/2020,3327,,,,,
10/9/2020,3102,,,,,
11/9/2020,3171,,,,,
14/09/2020,3356,,,,,
15/09/2020,3249,,,,,
16/09/2020,3181,,,,,
17/09/2020,3122,,,,,
18/09/2020,3141,,,,,
21/09/2020,3112,,,,,
22/09/2020,3054,,,,,
23/09/2020,3005,,,,,
24/09/2020,2956,,,,,
25/09/2020,3083,,,,,
28/09/2020,3015,,,,,
29/09/2020,2966,,,,,
30/09/2020,2966,,,,,
1/10/2020,3083,,,,,
2/10/2020,3024,,,,,
5/10/2020,3083,,,,,
6/10/2020,3112,,,,,
7/10/2020,3044,,,,,
8/10/2020,3073,,,,,
9/10/2020,3073,,,,,
12/10/2020,3112,,,,,
13/10/2020,3200,,,,,
14/10/2020,3278,,,,,
15/10/2020,3229,,,,,
16/10/2020,3171,,,,,
19/10/2020,3200,,,,,
20/10/2020,3171,,,,,
21/10/2020,3161,,,,,
22/10/2020,3220,,,,,
23/10/2020,3210,,,,,
26/10/2020,3259,,,,,
27/10/2020,3278,,,,,
2/11/2020,3298,,,,,
3/11/2020,3298,,,,,
4/11/2020,3210,,,,,
5/11/2020,3405,,,,,
6/11/2020,3473,,,,,
9/11/2020,3600,,,,,
10/11/2020,3902,,,,,
11/11/2020,4020,,,,,
12/11/2020,3854,,,,,
13/11/2020,3902,,,,,
16/11/2020,3863,,,,,
17/11/2020,3863,,,,,
18/11/2020,3941,,,,,
19/11/2020,3941,,,,,
20/11/2020,3922,,,,,
23/11/2020,3980,,,,,
24/11/2020,4098,,,,,
25/11/2020,4215,,,,,
26/11/2020,4185,,,,,
27/11/2020,4166,,,,,
30/11/2020,3990,,,,,
1/12/2020,4137,,,,,
2/12/2020,4195,,,,,
3/12/2020,4293,,,,,
4/12/2020,4195,,,,,
7/12/2020,4293,,,,,
